SID	Sequence
1	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
2	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
3	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
4	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
5	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
6	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
7	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
8	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
9	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
10	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
11	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(g)>, <(j)>
12	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
13	<(a)>, <(b)>, <(c, h)>, <(j)>
14	<(a)>, <(b)>, <(c, c, e)>, <(h)>, <(j)>
15	<(a)>, <(b)>, <(e)>, <(g)>, <(j)>
16	<(a)>, <(f)>, <(e)>, <(g)>, <(j)>
17	<(a)>, <(f)>, <(e)>, <(b)>, <(c, j)>
18	<(a)>, <(f)>, <(e)>, <(h)>, <(j)>
19	<(a)>, <(f)>, <(e)>, <(h)>, <(i)>, <(j)>
20	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
21	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(i)>, <(j)>
22	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
23	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
24	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
25	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
26	<(a)>, <(f)>, <(b)>, <(d)>, <(j)>
27	<(a)>, <(b)>, <(d)>, <(e)>, <(h)>, <(j)>
28	<(a)>, <(f)>, <(e)>, <(b)>, <(d)>, <(c, g)>, <(j)>
29	<(a)>, <(b)>, <(c, e)>, <(i)>, <(j)>
30	<(a)>, <(b)>, <(e)>, <(g)>, <(j)>
31	<(a)>, <(b)>, <(d)>, <(e)>, <(g)>, <(i)>, <(j)>
32	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
33	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
34	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
35	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(g)>, <(j)>
36	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
37	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
38	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
39	<(a)>, <(b)>, <(c, d, e)>, <(i)>, <(h)>, <(j)>
40	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
41	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
42	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(g)>, <(j)>
43	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(g)>, <(j)>
44	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
45	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(i)>, <(j)>
46	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
47	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
48	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
49	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
50	<(a)>, <(b)>, <(e)>, <(g)>, <(h)>, <(j)>
51	<(a)>, <(b)>, <(c, e)>, <(h)>, <(j)>
52	<(a)>, <(b)>, <(e)>, <(g)>, <(j)>
53	<(a)>, <(f)>, <(e)>, <(i)>, <(j)>
54	<(a)>, <(b)>, <(c, e)>, <(g)>, <(h)>, <(j)>
55	<(a)>, <(b)>, <(e)>, <(i)>, <(g)>, <(j)>
56	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
57	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(i)>, <(j)>
58	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
59	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(g)>, <(j)>
60	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
61	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
62	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
63	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(h)>, <(j)>
64	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
65	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
66	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
67	<(a)>, <(b)>, <(c, e)>, <(g)>, <(j)>
68	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
69	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
70	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(g)>, <(j)>
71	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(g)>, <(j)>
72	<(a)>, <(b)>, <(c, d, e)>, <(h)>, <(j)>
73	<(a)>, <(b)>, <(c, d, e)>, <(g)>, <(j)>
74	<(a)>, <(f)>, <(e)>, <(g)>, <(h)>, <(b)>, <(c, j)>
75	<(a)>, <(f)>, <(e)>, <(b)>, <(j)>
76	<(a)>, <(f)>, <(e)>, <(g)>, <(i)>, <(j)>
77	<(j)>
78	<(a)>, <(b)>, <(c, e)>, <(i)>, <(j)>
