 log_id,User_id,Username,Date,Actions
2365,244,Takreem,"05/02/23 09:57:21pm","user Loged in"
2366,244,.Takreem.,"05/02/23 09:57:22pm","view notifications"
2367,244,.Takreem.,"05/02/23 09:57:27pm","view lectures"
2368,244,.Takreem.,"05/02/23 09:57:33pm",".viewed lecture link https://www.youtube.com/watch?v=vO7QXLTSE4I."
2369,244,.Takreem.,"05/02/23 09:58:09pm",".downloaded lecture file Lecture 1."
2370,244,.Takreem.,"05/02/23 09:58:19pm","attempt Quiz"
2373,244,.Takreem.,"05/02/23 09:59:44pm","view progress"
2374,244,.Takreem.,"05/02/23 10:00:23pm","user logged out"
2375,271,Wajiha,"05/02/23 10:00:52pm","user Loged in"
2376,271,.Wajiha.,"05/02/23 10:00:53pm","view notifications"
2377,271,.Wajiha.,"05/02/23 10:00:59pm","view lectures"
2378,271,.Wajiha.,"05/02/23 10:01:04pm",".viewed lecture link https://www.youtube.com/watch?v=vO7QXLTSE4I."
2379,271,.Wajiha.,"05/02/23 10:01:12pm",".downloaded lecture file Lecture 1."
2380,271,.Wajiha.,"05/02/23 10:01:22pm","attempt Quiz"
2383,271,.Wajiha.,"05/02/23 10:02:02pm","view progress"
2384,271,.Wajiha.,"05/02/23 10:02:13pm","user logged out"
2385,244,Takreem,"05/02/23 10:02:25pm","user Loged in"
2386,244,.Takreem.,"05/02/23 10:02:26pm","view notifications"
2387,244,.Takreem.,"05/02/23 10:03:12pm","view lectures"
2388,244,.Takreem.,"05/02/23 10:03:20pm",".viewed lecture link https://www.youtube.com/watch?v=3kL1Cof-WAs."
2389,244,.Takreem.,"05/02/23 10:03:27pm",".downloaded lecture file Lecture 2."
2390,244,.Takreem.,"05/02/23 10:03:34pm","attempt Quiz"
2392,244,.Takreem.,"05/02/23 10:04:13pm","view lectures"
2393,244,.Takreem.,"05/02/23 10:04:16pm","view progress"
2394,244,.Takreem.,"05/02/23 10:04:27pm","user logged out"
2395,271,Wajiha,"05/02/23 10:04:34pm","user Loged in"
2396,271,.Wajiha.,"05/02/23 10:04:35pm","view notifications"
2397,271,.Wajiha.,"05/02/23 10:04:42pm","view lectures"
2398,271,.Wajiha.,"05/02/23 10:04:47pm",".viewed lecture link https://www.youtube.com/watch?v=3kL1Cof-WAs."
2399,271,.Wajiha.,"05/02/23 10:04:54pm",".downloaded lecture file Lecture 2."
2400,271,.Wajiha.,"05/02/23 10:05:01pm","attempt Quiz"
2402,271,.Wajiha.,"05/02/23 10:05:28pm","view lectures"
2403,271,.Wajiha.,"05/02/23 10:05:30pm","view progress"
2404,271,.Wajiha.,"05/02/23 10:15:49pm","user logged out"
2405,241,Zar,"05/03/23 02:52:18am","user Loged in"
2406,241,.Zar.,"05/03/23 02:52:19am","view notifications"
2407,241,.Zar.,"05/03/23 02:52:33am","view lectures"
2408,241,.Zar.,"05/03/23 02:53:20am","view progress"
2409,241,.Zar.,"05/03/23 02:53:47am","view lectures"
2410,241,.Zar.,"05/03/23 02:53:52am","user logged out"
2411,227,"Muhammad Umer","05/03/23 02:55:04am","user Loged in"
2412,227,".Muhammad Umer.","05/03/23 02:55:05am","view notifications"
2413,227,".Muhammad Umer.","05/03/23 02:55:13am","view lectures"
2414,227,".Muhammad Umer.","05/03/23 02:55:23am",".viewed lecture link https://www.youtube.com/watch?v=vO7QXLTSE4I."
2415,227,".Muhammad Umer.","05/03/23 02:55:29am",".downloaded lecture file Lecture 1."
2416,227,".Muhammad Umer.","05/03/23 02:55:35am","attempt Quiz"
2419,227,".Muhammad Umer.","05/03/23 02:56:26am","user logged out"
2420,224,"Madiha ","05/03/23 02:57:39am","user Loged in"
2421,224,".Madiha .","05/03/23 02:57:41am","view notifications"
2422,224,".Madiha .","05/03/23 02:57:47am","view lectures"
2423,224,".Madiha .","05/03/23 02:58:02am","attempt Quiz"
2426,224,".Madiha .","05/03/23 02:58:36am","view progress"
2427,224,".Madiha .","05/03/23 02:58:55am","user logged out"
2428,230,"Sadia ","05/03/23 02:59:55am","user Loged in"
2429,230,".Sadia .","05/03/23 02:59:56am","view notifications"
2430,230,".Sadia .","05/03/23 03:00:02am","view Quiz List"
2431,230,".Sadia .","05/03/23 03:00:20am","attempt Quiz"
2433,230,".Sadia .","05/03/23 03:00:48am","view lectures"
2434,230,".Sadia .","05/03/23 03:00:52am","view progress"
2435,230,".Sadia .","05/03/23 03:01:04am","user logged out"
2436,223,"Hafiz Muhammad","05/03/23 03:02:22am","user Loged in"
2437,223,".Hafiz Muhammad.","05/03/23 03:02:23am","view notifications"
2438,223,".Hafiz Muhammad.","05/03/23 03:02:30am","view lectures"
2439,223,".Hafiz Muhammad.","05/03/23 03:02:35am",".viewed lecture link https://www.youtube.com/watch?v=vO7QXLTSE4I."
2440,223,".Hafiz Muhammad.","05/03/23 03:02:40am",".downloaded lecture file Lecture 1."
2441,223,".Hafiz Muhammad.","05/03/23 03:02:45am","attempt Quiz"
2445,223,".Hafiz Muhammad.","05/03/23 03:03:26am","user logged out"
2446,222,"Aasuda ","05/03/23 03:04:39am","user Loged in"
2447,222,".Aasuda .","05/03/23 03:04:40am","view notifications"
2448,222,".Aasuda .","05/03/23 03:04:45am","view lectures"
2449,222,".Aasuda .","05/03/23 03:04:50am",".viewed lecture link https://www.youtube.com/watch?v=8cABrN3Dqcg."
2450,222,".Aasuda .","05/03/23 03:04:57am",".viewed lecture link https://www.youtube.com/watch?v=O5Mh1e4xq0Y."
2451,222,".Aasuda .","05/03/23 03:05:06am",".viewed lecture link https://www.youtube.com/watch?v=vO7QXLTSE4I."
2452,222,".Aasuda .","05/03/23 03:05:09am",".viewed lecture link https://www.youtube.com/watch?v=3kL1Cof-WAs."
2453,222,".Aasuda .","05/03/23 03:05:16am",".viewed lecture link https://www.youtube.com/watch?v=OMuTdETbsDw."
2454,222,".Aasuda .","05/03/23 03:05:24am","user logged out"
2455,273,"Ubaid Ullah","05/03/23 03:32:10am","user Loged in"
2456,273,".Ubaid Ullah.","05/03/23 03:32:11am","view notifications"
2457,273,".Ubaid Ullah.","05/03/23 03:32:17am","view lectures"
2458,273,".Ubaid Ullah.","05/03/23 03:32:22am",".viewed lecture link https://www.youtube.com/watch?v=vO7QXLTSE4I."
2459,273,".Ubaid Ullah.","05/03/23 03:32:26am",".downloaded lecture file Lecture 1."
2460,273,".Ubaid Ullah.","05/03/23 03:32:31am","attempt Quiz"
2463,273,".Ubaid Ullah.","05/03/23 03:33:13am","view progress"
2464,273,".Ubaid Ullah.","05/03/23 03:33:26am","user logged out"
