Id, Grades
223, 83
220, 100
241, 37
237, 68
239, 22
243, 77
245, 77
228, 74
230, 34
234, 82
247, 88
250, 80
253, 31
259, 74
269, 80
222, 34
226, 85
232, 77
287, 77
284, 0
295, 31
271, 86
278, 68
283, 83
292, 77
293, 37
290, 85
270, 25
280, 23
221, 68
229, 80
240, 100
249, 65
274, 37
275, 88
294, 91
288, 37
285, 80
282, 68
276, 71
289, 37
291, 82
286, 28
281, 68
277, 34
224, 37
227, 85
231, 25
238, 88
233, 28
242, 82
235, 31
244, 94
252, 77
279, 43
273, 77
272, 68
268, 74
265, 40
264, 20
267, 34
262, 77
266, 68
260, 86
263, 85
225, 77
236, 28
246, 68
251, 94
248, 80
255, 23
254, 77
261, 20
256, 28
258, 31
257, 100
